"utr","order_id","category","expected_match_type","notes"
"UTR100000","ORD10000","DUPLICATE","UNMATCHED","Duplicated in bank statement (simulated double entry)"
"UTR100001","ORD10001","CLEAN","EXACT","Identical across all 3 sources"
"UTR100002","ORD10002","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=49.21)"
"UTR100003","ORD10003","CLEAN","EXACT","Identical across all 3 sources"
"UTR100004","ORD10004","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
"UTR100005","ORD10005","CLEAN","EXACT","Identical across all 3 sources"
"UTR100006","ORD10006","CLEAN","EXACT","Identical across all 3 sources"
"UTR100007","ORD10007","CLEAN","EXACT","Identical across all 3 sources"
"UTR100008","ORD10008","CLEAN","EXACT","Identical across all 3 sources"
"UTR100009","ORD10009","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
"UTR100010","ORD10010","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
"UTR100011","ORD10011","MISSING","UNMATCHED","Missing from bank statement (simulated sync failure)"
"UTR100012","ORD10012","CLEAN","EXACT","Identical across all 3 sources"
"UTR100013","ORD10013","CLEAN","EXACT","Identical across all 3 sources"
"UTR100014","ORD10014","CLEAN","EXACT","Identical across all 3 sources"
"UTR100015","ORD10015","CLEAN","EXACT","Identical across all 3 sources"
"UTR100016","ORD10016","CLEAN","EXACT","Identical across all 3 sources"
"UTR100017","ORD10017","CLEAN","EXACT","Identical across all 3 sources"
"UTR100018","ORD10018","MISSING","UNMATCHED","Missing from bank statement (simulated sync failure)"
"UTR100019","ORD10019","CLEAN","EXACT","Identical across all 3 sources"
"UTR100020","ORD10020","CLEAN","EXACT","Identical across all 3 sources"
"UTR100021","ORD10021","MISSING","UNMATCHED","Missing from bank statement (simulated sync failure)"
"UTR100022","ORD10022","CLEAN","EXACT","Identical across all 3 sources"
"UTR100023","ORD10023","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=119.27)"
"UTR100024","ORD10024","CLEAN","EXACT","Identical across all 3 sources"
"UTR100025","ORD10025","DUPLICATE","UNMATCHED","Duplicated in bank statement (simulated double entry)"
"UTR100026","ORD10026","CLEAN","EXACT","Identical across all 3 sources"
"UTR100027","ORD10027","CLEAN","EXACT","Identical across all 3 sources"
"UTR100028","ORD10028","CLEAN","EXACT","Identical across all 3 sources"
"UTR100029","ORD10029","CLEAN","EXACT","Identical across all 3 sources"
"UTR100030","ORD10030","CLEAN","EXACT","Identical across all 3 sources"
"UTR100031","ORD10031","CLEAN","EXACT","Identical across all 3 sources"
"UTR100032","ORD10032","CLEAN","EXACT","Identical across all 3 sources"
"UTR100033","ORD10033","CLEAN","EXACT","Identical across all 3 sources"
"UTR100034","ORD10034","CLEAN","EXACT","Identical across all 3 sources"
"UTR100035","ORD10035","CLEAN","EXACT","Identical across all 3 sources"
"UTR100036","ORD10036","CLEAN","EXACT","Identical across all 3 sources"
"UTR100037","ORD10037","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=183.08)"
"UTR100038","ORD10038","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=6.73)"
"UTR100039","ORD10039","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=141.06)"
"UTR100040","ORD10040","CLEAN","EXACT","Identical across all 3 sources"
"UTR100041","ORD10041","CLEAN","EXACT","Identical across all 3 sources"
"UTR100042","ORD10042","CLEAN","EXACT","Identical across all 3 sources"
"UTR100043","ORD10043","CLEAN","EXACT","Identical across all 3 sources"
"UTR100044","ORD10044","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
"UTR100045","ORD10045","CLEAN","EXACT","Identical across all 3 sources"
"UTR100046","ORD10046","CLEAN","EXACT","Identical across all 3 sources"
"UTR100047","ORD10047","CLEAN","EXACT","Identical across all 3 sources"
"UTR100048","ORD10048","CLEAN","EXACT","Identical across all 3 sources"
"UTR100049","ORD10049","CLEAN","EXACT","Identical across all 3 sources"
"UTR100050","ORD10050","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
"UTR100051","ORD10051","CLEAN","EXACT","Identical across all 3 sources"
"UTR100052","ORD10052","CLEAN","EXACT","Identical across all 3 sources"
"UTR100053","ORD10053","CLEAN","EXACT","Identical across all 3 sources"
"UTR100054","ORD10054","CLEAN","EXACT","Identical across all 3 sources"
"UTR100055","ORD10055","CLEAN","EXACT","Identical across all 3 sources"
"UTR100056","ORD10056","AMOUNT_MISMATCH","FUZZY_HIGH","Bank amount net of ~2.5% gateway fee (delta=191.79)"
"UTR100057","ORD10057","CLEAN","EXACT","Identical across all 3 sources"
"UTR100058","ORD10058","DUPLICATE","UNMATCHED","Duplicated in bank statement (simulated double entry)"
"UTR100059","ORD10059","TIMING_SHIFT","FUZZY_HIGH","Bank settled T+2 (settlement lag)"
